fixed,covidence_id,name_data_entry,access_param_id,ebola_variant,pathogen,article_id,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,ebola_variant_p,parameter_from_figure,num_rows,matching
1,30,Anne,4,Unspecified,Ebola virus,19,Human delay - incubation period,NA,0,Days,9.34,14.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,05-May,2014,25,01-Jan,2015,NA,FALSE,NA,NA,TRUE,Unspecified,NA,1,0
1,30,Christian,1,Unspecified,Ebola virus,1,"Reproduction number (Effective, Re)",NA,0,No units,0.44,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,Compartmental model,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,05-May,2014,25,01-Jan,2015,NA,FALSE,NA,NA,FALSE,Unspecified,NA,1,0
1,30,Christian,3,Unspecified,Ebola virus,1,Human delay - infectious period,NA,0,Days,10.92,12.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,05-May,2014,25,01-Jan,2015,NA,FALSE,NA,NA,FALSE,Unspecified,NA,1,0
1,41,Anne,44,Zaire Ebola virus (EBOV),Ebola virus,22,Human delay - incubation period,9.2,0,Days,NA,NA,Mean,6.7,Standard deviation (Sd),2,33,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,49,Sierra Leone,Jui Government Hospital,1,10-Oct,2014,9,11-Nov,2014,NA,FALSE,NA,NA,FALSE,Zaire Ebola virus (EBOV),NA,1,0
1,41,Anne,45,Zaire Ebola virus (EBOV),Ebola virus,22,Severity - case fatality rate (CFR),60,0,Percentage (%),NA,NA,NA,NA,NA,NA,NA,NA,51,85,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,Unspecified,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,85,Sierra Leone,Jui Government Hospital,1,10-Oct,2014,9,11-Nov,2014,NA,FALSE,NA,NA,FALSE,Zaire Ebola virus (EBOV),NA,1,0
1,41,Anne,46,Zaire Ebola virus (EBOV),Ebola virus,22,Human delay - other human delay (go to section),5.8,0,Days,NA,NA,Mean,3.3,Standard deviation (Sd),NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,49,Sierra Leone,Jui Government Hospital,1,10-Oct,2014,9,11-Nov,2014,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,Zaire Ebola virus (EBOV),NA,1,0
1,41,Anne,47,Zaire Ebola virus (EBOV),Ebola virus,22,Human delay - other human delay (go to section),10.6,0,Days,NA,NA,Mean,3.2,Standard deviation (Sd),NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,NA,Sierra Leone,Jui Government hospital,1,10-Oct,2014,9,11-Nov,2014,NA,FALSE,Symptom Onset/Fever,Death,FALSE,Zaire Ebola virus (EBOV),NA,1,0
1,41,Anne,50,Zaire Ebola virus (EBOV),Ebola virus,22,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Death,Age;Other,NA,Significant,Adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,Zaire Ebola virus (EBOV),NA,1,0
1,45,Anne,54,Unspecified,Ebola virus,25,Severity - case fatality rate (CFR),63,0,Percentage (%),NA,NA,Unspecified,NA,NA,60,64,CI95%,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,Mid outbreak,Unspecified,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberia,Montserrado county,7,07-Jul,2014,22,09-Sep,2014,NA,FALSE,NA,NA,FALSE,Unspecified,NA,1,0
1,45,Anne,55,Unspecified,Ebola virus,25,"Reproduction number (Effective, Re)",1.73,0,No units,NA,NA,Unspecified,NA,NA,1.66,1.83,CI95%,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,Renewal equations / Branching process,Symptoms;Other,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberia,Montserrado county,7,07-Jul,2014,22,09-Sep,2014,NA,FALSE,NA,NA,FALSE,Unspecified,NA,1,0
